0	102
1	97
2	101
3	107
4	94
5	108
6	107
7	95
8	102
9	113
10	94
11	85
12	108
13	105
14	102
15	99
16	94
17	101
18	111
19	102
20	84
21	97
22	99
23	119
24	99
25	85
26	88
27	101
28	105
29	107
30	92
31	101
32	100
33	68
34	95
35	89
36	107
37	98
38	104
39	81
40	110
41	90
42	98
43	100
44	98
45	94
46	101
47	107
48	105
49	95
50	86
51	101
52	104
53	106
54	94
55	100
56	118
57	93
58	95
59	91
60	90
61	77
62	88
63	105
64	108
65	105
66	102
67	113
68	107
69	102
70	103
71	106
72	103
73	105
74	105
75	108
76	91
77	91
78	91
79	117
80	108
81	105
82	102
83	91
84	86
85	98
86	116
87	102
88	106
89	92
90	80
91	94
92	96
93	95
94	98
95	112
96	70
97	96
98	92
99	95
100	117
