
111435	2016-07-14	8611	33.2871012482662969	15	38.28	Shipped
89214	2019-12-15	6872	98.9366620434581599	15	113.78	Processed
172552	2016-04-23	13385	153.6754507628294036	15	176.73	Shipped
98908	2018-05-26	7631	40.6842348589921405	15	46.79	Shipped
60579	2018-03-03	4634	129.0799815071659732	15	148.44	Processed
14801	2019-01-04	1109	87.2861766065649560	15	100.38	Paid
42136	2017-09-30	3200	171.9833564493758670	15	197.78	Processed
148662	2018-01-06	11526	36.5233472029588534	15	42.00	Shipped
22597	2019-01-10	1720	30.1433194637078132	15	34.66	Shipped
32798	2017-01-11	2511	14.7942672214516874	15	17.01	Shipped
94206	2018-01-06	7263	152.5658807212205270	15	175.45	Shipped
